Review_ID,Product_ID,Brand,Rating,Review_Text,Date,Verified_Purchase,Sentiment_Score,Aspects,Aspect_wheels,Aspect_handle,Aspect_material,Aspect_zipper,Aspect_size,Aspect_durability,Is_Suspicious,Suspicious_Reason
R00001,P0010,Safari,4.0,Good product. looks premium. Also zipper works fine.,2023-04-09,False,0.5719,{'zipper': 0.2023},,,,0.2023,,,False,
R00002,P0003,Safari,3.0,"Average bag. fits a lot, but handle broke.",2023-06-25,True,-0.5719,"{'handle': -0.5719, 'size': -0.5719, 'durability': -0.5719}",,-0.5719,,,-0.5719,-0.5719,True,Duplicate Review Text
R00003,P0001,Safari,5.0,Good product. spacious. Also wheels glide easily.,2023-09-09,True,0.6486,"{'wheels': 0.34, 'size': 0.0}",0.34,,,,0.0,,False,
R00004,P0015,Safari,2.0,Disappointed. broken wheel after 1 trip. Would not recommend.,2023-06-10,True,-0.8079,"{'wheels': -0.4767, 'durability': -0.4767}",-0.4767,,,,,-0.4767,True,Duplicate Review Text
R00005,P0008,Safari,4.0,Good product. very durable. Also scratch resistant.,2023-11-04,True,0.4404,"{'material': 0.0, 'durability': 0.0}",,,0.0,,,0.0,True,Duplicate Review Text
R00006,P0005,Safari,5.0,Excellent product very good quality I love this bag very much value for money.,2023-10-10,True,0.9296,{},,,,,,,True,Duplicate Review Text
R00007,P0005,Safari,3.0,"Average bag. perfect cabin size, but wobbly handle.",2023-04-22,True,0.3291,"{'handle': 0.3291, 'size': 0.3291}",,0.3291,,,0.3291,,True,Duplicate Review Text
R00008,P0009,Safari,3.0,"Average bag. spacious, but handle jammed.",2023-11-14,True,0.0,"{'handle': 0.0, 'size': 0.0}",,0.0,,,0.0,,True,Duplicate Review Text
R00009,P0001,Safari,5.0,Excellent product very good quality I love this bag very much value for money.,2023-10-11,True,0.9296,{},,,,,,,True,Duplicate Review Text
R00010,P0003,Safari,3.0,"Average bag. good capacity, but handle jammed.",2023-02-03,True,0.2382,"{'handle': 0.2382, 'size': 0.2382}",,0.2382,,,0.2382,,True,Duplicate Review Text
R00011,P0009,Safari,5.0,Excellent product very good quality I love this bag very much value for money.,2023-10-12,True,0.9296,{},,,,,,,True,Duplicate Review Text
R00012,P0007,Safari,5.0,Excellent product very good quality I love this bag very much value for money.,2023-10-12,True,0.9296,{},,,,,,,True,Duplicate Review Text
R00013,P0015,Safari,2.0,Disappointed. wheels are noisy. Would not recommend.,2023-04-22,True,-0.7105,{'wheels': -0.1779},-0.1779,,,,,,True,Duplicate Review Text
R00014,P0011,Safari,5.0,Excellent product very good quality I love this bag very much value for money.,2023-10-14,False,0.9296,{},,,,,,,True,Duplicate Review Text
R00015,P0010,Safari,2.0,Disappointed. flimsy handle. Would not recommend.,2023-03-14,True,-0.6381,{'handle': 0.0},,0.0,,,,,False,
R00016,P0003,Safari,5.0,Good product. looks premium. Also fits a lot.,2023-03-26,True,0.4404,{'size': 0.0},,,,,0.0,,False,
R00017,P0007,Safari,3.0,"Average bag. good capacity, but flimsy handle.",2023-04-27,False,0.2382,"{'handle': 0.2382, 'size': 0.2382}",,0.2382,,,0.2382,,True,Duplicate Review Text
R00018,P0006,Safari,3.0,"Average bag. perfect cabin size, but flimsy handle.",2023-01-22,True,0.3291,"{'handle': 0.3291, 'size': 0.3291}",,0.3291,,,0.3291,,True,Duplicate Review Text
R00019,P0007,Safari,5.0,Good product. 360 degree wheels are great. Also secure lock and zips.,2023-11-27,True,0.8555,"{'wheels': 0.6249, 'zipper': 0.34}",0.6249,,,0.34,,,False,
R00020,P0001,Safari,5.0,Excellent product very good quality I love this bag very much value for money.,2023-10-12,True,0.9296,{},,,,,,,True,Duplicate Review Text
R00021,P0010,Safari,4.0,Good product. tough material. Also roller is excellent.,2023-06-24,True,0.7269,"{'wheels': 0.5719, 'material': -0.128, 'durability': -0.128}",0.5719,,-0.128,,,-0.128,True,Duplicate Review Text
R00022,P0007,Safari,5.0,Good product. good capacity. Also wheels glide easily.,2023-05-02,False,0.802,"{'wheels': 0.34, 'size': 0.4404}",0.34,,,,0.4404,,False,
R00023,P0001,Safari,2.0,Disappointed. doesn't fit 15kg. Would not recommend.,2023-06-14,True,-0.7446,{'size': -0.2755},,,,,-0.2755,,True,Duplicate Review Text
R00024,P0011,Safari,4.0,Good product. spacious. Also scratch resistant.,2023-09-10,False,0.4404,"{'material': 0.0, 'size': 0.0}",,,0.0,,0.0,,True,Duplicate Review Text
R00025,P0006,Safari,4.0,Good product. looks premium. Also survived flight drops.,2023-07-22,False,0.7351,{},,,,,,,False,
R00026,P0011,Safari,5.0,Good product. handle feels strong. Also sturdy build.,2023-09-27,True,0.7351,"{'handle': 0.5106, 'durability': 0.0}",,0.5106,,,,0.0,False,
R00027,P0005,Safari,2.0,Disappointed. stuck zipper. Would not recommend.,2023-08-15,False,-0.7359,{'zipper': -0.25},,,,-0.25,,,False,
R00028,P0011,Safari,3.0,"Average bag. good capacity, but flimsy handle.",2023-11-03,True,0.2382,"{'handle': 0.2382, 'size': 0.2382}",,0.2382,,,0.2382,,True,Duplicate Review Text
R00029,P0009,Safari,4.0,Good product. spacious. Also looks premium.,2023-11-10,True,0.4404,{'size': 0.0},,,,,0.0,,True,Duplicate Review Text
R00030,P0013,Safari,5.0,Excellent product very good quality I love this bag very much value for money.,2023-10-10,True,0.9296,{},,,,,,,True,Duplicate Review Text
R00031,P0004,Safari,4.0,Good product. good capacity. Also roller is excellent.,2023-11-19,True,0.8591,"{'wheels': 0.5719, 'size': 0.4404}",0.5719,,,,0.4404,,False,
R00032,P0012,Safari,4.0,Good product. heavy duty zips. Also perfect cabin size.,2023-11-23,True,0.765,"{'zipper': 0.0, 'size': 0.5719}",,,,0.0,0.5719,,False,
